case,case_status,profile_status,scientific_question,expected_contribution,equation,domain,boundary_conditions,method,order,resolution,resolution_flag,ranks,scale,time_integrator,metrics,reference_check,priority,intended_artifact,estimated_seconds,command
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,oedg,1,512,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 512 -o 1 -method oedg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg,1,512,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 512 -o 1 -method ofdg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,dg,1,1024,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 1024 -o 1 -method dg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg-kxrcf,1,1024,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 1024 -o 1 -method ofdg-kxrcf -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,oedg,1,1024,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 1024 -o 1 -method oedg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg,1,1024,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 1024 -o 1 -method ofdg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,dg,1,2048,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 2048 -o 1 -method dg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg-kxrcf,1,2048,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 2048 -o 1 -method ofdg-kxrcf -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,oedg,1,2048,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 2048 -o 1 -method oedg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg,1,2048,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 2048 -o 1 -method ofdg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,dg,2,128,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 128 -o 2 -method dg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg-kxrcf,2,128,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 128 -o 2 -method ofdg-kxrcf -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,oedg,2,128,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 128 -o 2 -method oedg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg,2,128,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 128 -o 2 -method ofdg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,dg,2,256,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 256 -o 2 -method dg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg-kxrcf,2,256,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 256 -o 2 -method ofdg-kxrcf -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,oedg,2,256,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 256 -o 2 -method oedg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg,2,256,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 256 -o 2 -method ofdg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,dg,2,512,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 512 -o 2 -method dg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg-kxrcf,2,512,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 512 -o 2 -method ofdg-kxrcf -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,oedg,2,512,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 512 -o 2 -method oedg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg,2,512,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 512 -o 2 -method ofdg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,dg,2,1024,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 1024 -o 2 -method dg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg-kxrcf,2,1024,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 1024 -o 2 -method ofdg-kxrcf -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,oedg,2,1024,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 1024 -o 2 -method oedg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg,2,1024,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 1024 -o 2 -method ofdg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,dg,2,2048,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 2048 -o 2 -method dg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg-kxrcf,2,2048,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 2048 -o 2 -method ofdg-kxrcf -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,oedg,2,2048,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 2048 -o 2 -method oedg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg,2,2048,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 2048 -o 2 -method ofdg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,dg,3,128,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 128 -o 3 -method dg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg-kxrcf,3,128,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 128 -o 3 -method ofdg-kxrcf -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,oedg,3,128,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 128 -o 3 -method oedg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg,3,128,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 128 -o 3 -method ofdg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,dg,3,256,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 256 -o 3 -method dg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg-kxrcf,3,256,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 256 -o 3 -method ofdg-kxrcf -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,oedg,3,256,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 256 -o 3 -method oedg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg,3,256,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 256 -o 3 -method ofdg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,dg,3,512,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 512 -o 3 -method dg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg-kxrcf,3,512,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 512 -o 3 -method ofdg-kxrcf -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,oedg,3,512,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 512 -o 3 -method oedg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg,3,512,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 512 -o 3 -method ofdg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,dg,3,1024,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 1024 -o 3 -method dg -cadence auto
advection_1d,proposed,draft,Do all headline methods recover optimal P1-P3 convergence for smooth periodic transport?,Primary scalar accuracy comparison and paper-style error tables.,u_t + u_x = 0,"[0,1] periodic",periodic,ofdg-kxrcf,3,1024,-n,1,1.0,order-controlled explicit RK; temporal-error check required,L1; L2; Linf; conservation; runtime,exact translated solution and time-step halving,required,separate method tables and degree-specific convergence figures,0.525,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 1.1 -n 1024 -o 3 -method ofdg-kxrcf -cadence auto
